id_bureau,nom_bureau,keller_2014,keller_2014_p,diff_keller,ries_2014,ries_2014_p,diff_ries
905,Ecole du Gliesberg,255,40.54,4.05,305,48.49,-15.02
107,Palais des Fêtes,328,50,8.72,289,44.05,-14.67
207,Gymnase Sainte-Aurélie,207,38.76,4.47,266,49.81,-15.9
707,Gymnase de l'école de la Canardière,205,46.7,8.8,191,43.51,-18.59
1001,Mairie de Quartier du Neuhof,184,37.63,12.04,258,52.76,-17.21
1004,Ecole élémentaire Guynemer,153,34.62,5.27,228,51.58,-19.07
601,Ecole maternelle Gustave Stoskopf,267,39.97,9.4,348,52.1,-17.33
908,Ecole élémentaire Jean Gutenberg,118,32.87,2.98,206,57.38,-12.73
620,Ecole maternelle Paul Langevin 2,171,38.6,-2.11,223,50.34,-8.95
103,Gymnase Jean Sturm,242,47.27,5.57,251,49.02,-9.28
916,Ecole maternelle Camille Claus,185,47.68,6.22,167,43.04,-15.5
714,Gymnase de l'école de la Canardière,117,34.82,1.73,170,50.6,-16.31
106,Ecole Saint-Jean,202,39.15,2.73,296,57.36,-6.22
305,Lycée Professionnel J. F. Oberlin,193,32.22,7.02,379,63.27,-11.53
203,Lycée Professionnel Charles Frey,176,43.89,3.89,205,51.12,-8.88
306,Lycée Professionnel J. F. Oberlin,193,32.11,3.37,380,63.23,-8.03
110,Ecole élémentaire Schoepflin,293,42.34,10.74,382,55.2,-13.2
105,Ecole Saint-Jean,250,43.03,5.62,301,51.81,-10.78
301,Ecole élémentaire Sainte-Madeleine,271,34,5.41,494,61.98,-9.43
108,Palais des Fêtes,256,39.2,2.03,371,56.81,-6.02
409,Ecole élémentaire du Conseil des Quinze,229,44.47,4.12,261,50.68,-8.97
307,Bourse de Commerce,281,38.92,4,397,54.99,-10.09
310,Lycée Marie Curie,283,44.71,4.47,297,46.92,-12.84
810,Médiathèque de Neudorf,294,44.89,6.38,333,50.84,-10.65
1003,Ecole du Rhin,69,29.87,-1.63,128,55.41,-13.09
812,Ecole élémentaire Albert Le Grand,184,46.35,5.42,163,41.06,-18.01
801,Ecole de la Ziegelau (Gymnase),209,42.14,3.91,248,50,-11.77
703,Ecole maternelle du Schluthfeld,195,35.52,-4.85,320,58.29,-1.34
205,Ecole élémentaire Saint-Thomas,173,32.34,4.29,342,63.93,-8.02
201,Gymnase Jean Sturm,169,37.56,5.98,268,59.56,-8.86
814,Ecole élémentaire de la Musau,339,44.14,2.66,381,49.61,-8.91
202,Ecole maternelle du Finkwiller,206,41.53,7.86,259,52.22,-14.11
204,Ecole élémentaire Saint-Thomas,280,37.94,6.06,425,57.59,-10.53
603,Ecole maternelle Paul Langevin 1,99,34.14,7.19,168,57.93,-15.12
506,Ecole maternelle Jean Baptiste Schwilgué,214,47.87,13.97,176,39.37,-26.73
508,Ecole maternelle Jean Baptiste Schwilgué,208,35.92,-1.03,265,45.77,-17.28
911,Ecole maternelle Camille Claus,122,34.66,-1.16,169,48.01,-16.17
1005,Ecole élémentaire Guynemer,105,24.03,-1.96,295,67.51,-6.5
910,Ecole maternelle Martin Schongauer,240,41.31,12.97,292,50.26,-21.4
914,Ecole élémentaire Jean Gutenberg,209,44.56,3.69,169,36.03,-23.1
618,Gymnase de l'école élémentaire Eléonore,99,32.14,7.9,189,61.36,-14.4
614,Ecole élémentaire Karine 1,157,32.78,12.82,277,57.83,-22.21
615,Ecole élémentaire Jacqueline,162,32.73,7.73,293,59.19,-15.81
612,Ecole élémentaire Brigitte,89,28.71,7.71,195,62.9,-16.1
611,Ecole élémentaire Catherine,159,30.11,4.72,344,65.15,-9.46
607,Ecole élémentaire Camille Hirtz,204,38.42,2.56,286,53.86,-10.28
616,Ecole maternelle Gustave Stoskopf,171,33.08,-1.5,266,51.45,-13.97
906,Ecole Erckmann Chatrian,162,32.86,5.12,233,47.26,-25
907,Ecole élémentaire Jean Gutenberg,207,41.82,1.57,217,43.84,-15.91
621,Ecole maternelle Gustave Stoskopf,221,36.11,2.3,316,51.63,-14.56
805,Ecole maternelle de la Musau,212,41.57,4.86,259,50.78,-12.51
304,A.R.E.S.,187,38.88,3.9,231,48.02,-17
302,Collège Fustel de Coulanges,198,34.92,3.05,310,54.67,-13.46
602,Gymnase de l' école élémentaire Eléonore,130,30.95,-0.84,261,62.14,-6.07
1011,Ecole élémentaire Ampère,273,42.06,2.81,278,42.84,-17.91
604,Ecole élémentaire Paul Langevin 1,147,40.95,15.79,173,48.19,-26.65
407,Institution Sainte-Clotilde,247,39.14,-1.67,356,56.42,-2.77
1002,Ecole élémentaire Albert Le Grand,118,40.55,-0.56,138,47.42,-11.47
704,Ecole élémentaire du Neufeld,261,38.38,3.01,369,54.26,-10.37
902,Ecole maternelle Camille Claus,151,37.47,-0.52,191,47.39,-14.62
210,Gymnase Sainte-Aurélie,179,26.84,4.06,462,69.27,-7.95
206,Ecole maternelle Louise Scheppler,234,43.01,5.89,266,48.9,-13.98
101,Hôtel de Ville,178,38.28,5.24,270,58.06,-8.9
209,Bibliothèque,233,30.62,6.47,491,64.52,-11.33
208,Ecole maternelle Louise Scheppler,188,27.69,4.39,441,64.95,-11.75
102,Ecole maternelle Louis Pasteur,248,41.33,3.11,341,56.83,-4.95
411,Institution Sainte-Clotilde,216,42.77,9.5,255,50.5,-16.23
109,Palais des Fêtes,300,45.25,8.8,341,51.43,-12.12
405,Lycée Technique Commercial René Cassin,201,32.37,0.01,396,63.77,-3.87
406,Lycée Technique Commercial René Cassin,133,27.82,0.01,312,65.27,-6.92
303,Ecole maternelle Oberlin,264,44.59,6.94,265,44.76,-17.59
309,Ecole Inter élé Robert Schuman,250,44.4,5.44,274,48.67,-12.37
308,Ecole Inter élé Robert Schuman,168,41.79,7.34,214,53.23,-12.32
613,Ecole maternelle Paul Langevin 2,135,39.02,-2.51,174,50.29,-8.18
115,Ecole Saint-Jean,175,38.21,6.73,273,59.61,-8.91
312,Ecole élémentaire Jacques Sturm,164,39.61,3.94,228,55.07,-9.26
909,Ecole élémentaire Léonard de Vinci,171,46.98,7.53,139,38.19,-22.36
811,Ecole élémentaire Albert Le Grand,191,38.35,1.47,252,50.6,-12.52
